id,Month,Day,Hour,Irr,Text,WS,PV_module_temp,,,u0,u1,,,
2470,4,13,22,0,11.9,0.005,11.9,,,,,,,
2471,4,13,23,0,11,0.06916667,11,,,,,,,
2472,4,13,24,0,10.1,0.1315,10.1,,,,,,,
2473,4,14,1,0,9.6,0.0855,9.6,,,,,,,
2474,4,14,2,0,9,0.02883333,9,,,,,,,
2475,4,14,3,0,8.6,0.01133333,8.6,,,,,,,
2476,4,14,4,0,8.3,0.00066667,8.3,,,,,,,
2477,4,14,5,0,8.1,0.00316667,8.1,,,,,,,
2478,4,14,6,0,8,0.0445,8,,,,,,,
2479,4,14,7,82,9.1,0,13.2,,,,,,,
2480,4,14,8,187,10.4,0,19.75,,,,,,,
2481,4,14,9,222,11.3,0.011,22.38049832,,,,,,,
2482,4,14,10,323,12.4,0.05016667,28.42140154,,,,,,,
2483,4,14,11,369,13.2,0.1075,31.33802595,,,,,,,
2484,4,14,12,437,14.2,0.18283333,35.42898154,,,,,,,
2485,4,14,13,322,14.5,0.129,30.27441605,,,,,,,
2486,4,14,14,424,15,0.28366667,35.27957756,,,,,,,
2487,4,14,15,407,15.3,0.139,35.20726248,,,,,,,
2488,4,14,16,432,15.7,0.0455,37.14388849,,,,,,,
2489,4,14,17,368,15.8,0.09216667,33.93260452,,,,,,,
2490,4,14,18,301,15.7,0.05833333,30.61083224,,,,,,,
2491,4,14,19,106,15,0.0195,20.28351543,,,,,,,
2492,4,14,20,3,14.1,0,14.25,,,,,,,
2493,4,14,21,0,13.1,0.00916667,13.1,,,,,,,
2494,4,14,22,0,12.1,0.14883333,12.1,,,,,,,
2495,4,14,23,0,11.2,0.0035,11.2,,,,,,,
2496,4,14,24,0,10.2,0.005,10.2,,,,,,,
2497,4,15,1,0,9.6,0,9.6,,,,,,,
2498,4,15,2,0,8.9,0,8.9,,,,,,,
2499,4,15,3,0,8.6,0,8.6,,,,,,,
2500,4,15,4,0,8.2,0.04183333,8.2,,,,,,,
2501,4,15,5,0,8,0,8,,,,,,,
2502,4,15,6,0,8,0,8,,,,,,,
2503,4,15,7,36,8.4,0.1805,10.14947516,,,,,,,
2504,4,15,8,74,8.2,0.00166667,11.89901359,,,,,,,
2505,4,15,9,36,8.7,0.001,10.49971205,,,,,,,
2506,4,15,10,143,9.3,0,16.45,,,,,,,
2507,4,15,11,197,10,0.0035,19.84448709,,,,,,,
2508,4,15,12,354,10.9,0.03033333,28.51451092,,,,,,,
2509,4,15,13,320,11.3,0.01533333,27.26084274,,,,,,,
2510,4,15,14,443,12.4,0.03416667,34.42957166,,,,,,,
2511,4,15,15,311,12.6,0.04433333,28.04047557,,,,,,,
2512,4,15,16,273,12.9,0.02333333,26.49922955,,,,,,,
2513,4,15,17,265,13,0.017,26.21405776,,,,,,,
2514,4,15,18,172,12.9,0.00716667,21.49014996,,,,,,,
2515,4,15,19,71,12.5,0,16.05,,,,,,,
2516,4,15,20,1,11.9,0,11.95,,,,,,,
2517,4,15,21,0,10.8,0.00033333,10.8,,,,,,,
2518,4,15,22,0,9.7,0,9.7,,,,,,,
2519,4,15,23,0,8.7,0.00033333,8.7,,,,,,,
2520,4,15,24,0,7.6,0.00066667,7.6,,,,,,,
2521,4,16,1,0,6.6,0.00033333,6.6,,,,,,,
2522,4,16,2,0,5.6,0.00033333,5.6,,,,,,,
2523,4,16,3,0,5,0.00033333,5,,,,,,,
2524,4,16,4,0,4.4,0.00033333,4.4,,,,,,,
2525,4,16,5,0,4,0,4,,,,,,,
2526,4,16,6,0,3.9,0,3.9,,,,,,,
2527,4,16,7,70,4.8,0,8.3,,,,,,,
2528,4,16,8,220,6.3,0.00033333,17.29941337,,,,,,,
2529,4,16,9,395,8.2,0.00066667,27.94789355,,,,,,,
2530,4,16,10,510,9.8,0.00133333,35.29456117,,,,,,,
2531,4,16,11,636,11.5,0.00233333,43.28813245,,,,,,,
2532,4,16,12,710,12.9,0.00266667,48.38485977,,,,,,,
2533,4,16,13,749,14.1,0.01633333,51.45238579,,,,,,,
2534,4,16,14,729,14.9,0.00133333,51.34222568,,,,,,,
2535,4,16,15,673,15.4,0,49.05,,,,,,,
2536,4,16,16,550,15.5,0.01066667,42.95314662,,,,,,,
2537,4,16,17,403,15.2,0.00766667,35.32531294,,,,,,,
2538,4,16,18,242,14.3,0,26.4,,,,,,,
2539,4,16,19,82,13.1,0,17.2,,,,,,,
2540,4,16,20,0,11.7,0,11.7,,,,,,,
2541,4,16,21,0,10.9,0,10.9,,,,,,,
2542,4,16,22,0,10,0,10,,,,,,,
